[0.00-3.36] 给大家分享一个使用小龙虾
[166.96-170.72] 你还可以对自己的信源去做一系列的筛选
[170.80-175.04] 然后根据关键词去做正向筛选和反向筛选
[175.04-177.60] 然后我看看小龙虾还没有干完
[177.60-179.52] 可能因为一天没有干了
[179.52-181.76] 可能的信息会比较多
[181.76-183.92] 然后他做完了之后的笔记
[183.92-188.16] 他其实不是会直接发布
[188.16-190.96] 而是变成仅自己可见的
[190.96-192.32] 如果没出意外的话
[192.32-194.40] 这个是不是就是他刚刚创作的
[194.40-195.12] 我还不知道
[195.12-197.36] 等了一会小龙虾给我们一个反馈
[197.36-198.72] 我们可以等他一会
[198.80-200.00] 这个过程呢
[200.00-203.04] 我其实是配置了一个定时任务
[203.04-206.40] 每天的大概三到四个小时以后
[206.40-208.96] 三到四个小时他会去刷一遍
[208.96-210.16] 然后你会看到这个新闻
[210.16-211.76] 其实就是AI标记的
[211.76-213.68] 他其实并不是我标记的
[213.68-214.96] 因为我刚刷完
[214.96-216.16] 我刚刷完这个信息
[216.96-219.44] 我们看一看小龙虾还没有干完
[219.44-221.04] 等一会加个速
[221.04-226.27] 对然后可以讲一下
[226.27-228.11] 你怎么去部署这个项目
[228.11-231.15] 你就直接把这个项目的地址复制下来
[231.15-232.67] 告诉你的OpenCloud
[232.67-235.71] 把这个项目在本地安装
[235.71-237.07] 安装完了以后
[237.07-239.63] 把其中的那个skill的技能
[239.63-241.71] 在你的系统上安装好
[241.71-242.91] 安装完以后
[242.91-246.35] 告诉我你把它安装在哪了
[246.35-247.87] 我应该如何访问
[247.87-249.63] 然后我帮你配置信息
[249.63-251.39] 然后他就可以干活了
[251.39-252.03] 我们可以看
[252.03-254.03] 他已经应该是干完了
[254.03-256.03] 因为他给我推送了信息了
[256.03-257.71] 推送了五条资讯
[257.71-260.19] 然后呢创作了三个内容
[260.35-262.27] 每个内容都给我放进来了
[262.27-264.75] 然后我们可以看一下我的笔记
[264.75-265.87] 刷新一下
[265.87-269.15] 他直接就已经三条内容给我发布过来了
[269.15-270.75] 然后呢不同的类型啊
[270.75-273.63] 然后他会有不同的这个主题
[273.63-274.83] 然后里边的内容呢
[274.83-275.95] 如果有详情意义
[275.95-277.55] 他会帮我结一张图
[277.55-279.63] 这些都是自己做的
[279.63-281.47] 这个里边也会有一个详情意义
[281.47-283.39] 现在就是新源来源嘛
[283.39-285.31] 这个应该会结取一个github
[285.31-286.59] 只要是开完项目
[286.59-288.19] 他就会结取过来
[288.19-289.87] 然后呢他会给我汇报一下
[289.95-291.47] 应该是已经帮我汇报完了
[291.47-293.55] 这里边来了一堆自己的干活的
[293.55-295.55] 这里边推送了五条新闻
[295.55-298.83] 然后呢新闻应该也都保存到废书文档
[298.83-300.91] 他在这创建了一个新的文档
[300.91-304.03] 这个文档就是刚刚他生产的所有的内容
[304.03-304.91] 他这些新闻
[304.91-305.63] 这些新闻呢
[305.63-308.67] 我也可以同步分享给我的这个社群的小伙伴
[308.67-309.63] 然后呢
[309.63-311.39] 这个就是这个产品
[311.39-312.91] 希望你的小龙虾
[312.91-314.19] 也能够帮你去
[315.47-316.75] 干一些事情
[316.75-318.75] 干一些力所能及的事情
[318.75-319.31] 拜拜
